table with row headers in column B and column headers in rows 3 through 4,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Incorporated Places of 50,000 or More, Ranked by July 1, 2019 Population: April 1, 2010 to July 1, 2019",,,,,,,,,,,,,
Rank,Geographic Area,"April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
150,"Salem city, Oregon","154,637","154,931","155,247","156,171","157,369","158,814","160,675","163,175","166,478","169,627","172,646","174,365"
151,"Pembroke Pines city, Florida","154,750","154,898","155,265","158,278","160,245","162,133","164,065","165,800","168,321","170,707","171,975","173,591"
152,"Eugene city, Oregon","156,185","156,431","156,527","157,424","158,238","158,441","160,260","162,910","165,927","169,391","170,701","172,622"
153,"Garden Grove city, California","170,883","170,958","171,181","172,957","173,809","174,422","174,423","174,343","174,571","173,422","172,195","171,644"
154,"Cary town, North Carolina","135,234","135,840","137,086","142,209","146,154","151,328","155,439","159,712","162,477","165,927","168,042","170,282"
155,"Fort Collins city, Colorado","143,986","144,879","145,268","146,673","149,508","152,668","156,804","160,991","163,004","165,541","168,324","170,243"
156,"Corona city, California","152,374","152,315","153,052","154,693","157,405","158,763","160,419","163,154","166,067","167,310","168,476","169,868"
157,"Springfield city, Missouri","159,498","159,341","159,376","160,246","161,915","163,708","164,749","166,133","166,541","167,116","167,539","167,882"
158,"Jackson city, Mississippi","173,514","173,551","173,698","175,149","174,822","172,927","172,014","170,901","169,022","166,823","163,772","160,628"
159,"Alexandria city, Virginia","139,966","139,998","140,729","144,219","147,291","149,637","151,375","153,654","156,698","159,215","159,069","159,428"
160,"Hayward city, California","144,186","144,427","144,835","146,935","149,406","151,753","154,376","157,999","159,331","160,324","159,760","159,203"
161,"Clarksville city, Tennessee","132,929","132,901","133,486","136,104","142,652","142,281","145,899","148,147","149,162","152,917","156,376","158,146"
162,"Lakewood city, Colorado","142,980","142,600","142,759","144,087","145,396","146,878","149,434","152,052","154,039","154,966","156,682","157,935"
163,"Lancaster city, California","156,633","156,649","156,824","158,078","158,253","159,055","159,634","159,813","159,633","159,434","158,622","157,601"
164,"Salinas city, California","150,441","150,607","150,887","152,412","153,815","154,958","155,717","156,244","156,830","156,463","155,647","155,465"
165,"Palmdale city, California","152,750","152,733","152,936","153,996","154,861","156,495","156,770","156,988","156,739","156,558","156,158","155,079"
166,"Hollywood city, Florida","140,768","140,709","141,013","143,421","144,998","146,038","146,978","148,313","151,630","153,371","154,381","154,817"
167,"Springfield city, Massachusetts","153,060","153,132","153,569","153,773","153,933","154,056","154,376","154,582","154,028","154,207","154,329","153,606"
168,"Macon-Bibb County, Georgia",(X),"155,783","155,814","156,211","156,606","155,031","154,329","153,945","153,152","152,840","152,903","153,159"
169,"Kansas City city, Kansas","145,786","145,783","145,878","146,227","147,454","148,899","150,122","151,502","152,485","152,739","152,965","152,960"
170,"Sunnyvale city, California","140,081","140,060","140,462","143,805","146,436","148,055","149,769","151,630","153,544","153,217","152,807","152,703"
171,"Pomona city, California","149,058","149,061","149,107","149,693","150,453","151,072","152,225","152,407","152,445","152,468","151,925","151,691"
172,"Killeen city, Texas","127,921","127,747","129,024","130,838","134,240","136,294","137,589","140,147","142,854","145,149","148,683","151,666"
173,"Escondido city, California","143,911","143,976","144,440","146,099","147,570","148,794","149,708","150,683","151,204","151,220","151,793","151,625"
174,"Pasadena city, Texas","149,043","149,307","149,523","151,156","152,662","153,532","154,447","154,530","154,525","153,858","152,733","151,227"
175,"Naperville city, Illinois","141,853","142,170","142,402","143,205","144,017","144,892","146,193","146,975","147,192","147,619","148,090","148,449"
176,"Bellevue city, Washington","122,363","127,885","128,357","130,196","132,074","133,688","136,275","139,757","141,758","145,273","147,064","148,164"
177,"Joliet city, Illinois","147,433","147,308","147,524","147,771","148,084","147,749","147,592","147,432","147,802","147,821","147,730","147,344"
178,"Murfreesboro city, Tennessee","108,755","109,119","109,572","111,901","114,141","117,042","120,808","125,958","131,409","136,217","141,442","146,900"
179,"Midland city, Texas","111,147","111,193","111,276","113,941","119,794","124,163","128,352","133,440","134,935","136,205","142,173","146,038"
180,"Rockford city, Illinois","152,871","153,285","153,147","152,129","151,258","150,608","149,378","148,465","147,796","147,008","146,307","145,609"
181,"Paterson city, New Jersey","146,199","146,181","146,391","145,593","146,111","146,049","145,911","145,928","145,773","146,015","145,594","145,233"
182,"Savannah city, Georgia","136,286","136,918","137,412","140,414","142,327","142,600","143,883","145,160","145,818","145,804","145,817","144,464"
183,"Bridgeport city, Connecticut","144,229","144,246","144,864","146,146","147,096","147,716","147,870","147,409","146,287","145,346","144,772","144,399"
184,"Torrance city, California","145,438","145,151","145,154","145,769","146,257","146,671","146,845","146,950","146,416","145,781","144,706","143,592"
185,"McAllen city, Texas","129,877","131,547","132,093","134,639","136,277","137,421","138,719","139,909","141,888","142,249","142,530","143,268"
186,"Syracuse city, New York","145,170","145,150","145,215","144,526","144,414","145,044","144,331","143,816","143,176","142,287","142,745","142,327"
