table with row headers in column B and column headers in rows 3 through 4,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Incorporated Places of 50,000 or More, Ranked by July 1, 2019 Population: April 1, 2010 to July 1, 2019",,,,,,,,,,,,,
Rank,Geographic Area,"April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
638,"Pontiac city, Michigan","59,515","59,695","59,687","59,913","60,299","60,448","60,466","60,260","60,224","60,123","59,741","59,438"
639,"Meriden city, Connecticut","60,868","60,825","60,832","60,699","60,672","60,491","60,384","60,063","59,708","59,646","59,566","59,395"
640,"Gardena city, California","58,829","58,829","58,835","59,114","59,368","59,788","59,843","59,946","59,873","59,871","59,540","59,329"
641,"Apex town, North Carolina","37,476","37,727","37,991","38,999","40,659","42,388","44,064","45,652","47,543","50,524","53,859","59,300"
642,"Royal Oak city, Michigan","57,236","57,232","57,260","57,697","58,139","58,562","58,763","58,750","59,226","59,374","59,356","59,277"
643,"Cupertino city, California","58,302","58,559","58,689","59,172","59,769","60,198","60,592","60,519","60,900","60,588","60,004","59,276"
644,"Lancaster city, Pennsylvania","59,322","59,263","59,277","59,417","59,406","59,397","59,411","59,446","59,486","59,494","59,407","59,265"
645,"La Mesa city, California","57,065","57,016","57,149","57,644","58,099","58,556","58,855","59,697","59,751","59,722","59,389","59,249"
646,"Gilroy city, California","48,821","48,879","49,006","49,700","50,718","51,893","52,538","53,259","55,369","57,549","58,588","59,032"
647,"St. Clair Shores city, Michigan","59,715","59,765","59,767","59,799","59,986","60,183","60,085","59,912","59,788","59,657","59,282","58,984"
648,"Des Plaines city, Illinois","58,364","58,383","58,454","58,725","58,978","59,112","59,104","58,811","58,430","58,078","58,854","58,899"
649,"Springfield city, Ohio","60,608","60,563","60,531","60,267","60,079","59,872","59,730","59,449","58,906","59,168","59,263","58,877"
650,"Corvallis city, Oregon","54,462","54,494","54,401","54,730","55,139","54,710","55,517","56,375","57,327","58,546","58,969","58,856"
651,"Margate city, Florida","53,284","53,120","53,242","54,190","54,820","55,256","55,664","56,741","57,832","58,200","58,495","58,796"
652,"Bowie city, Maryland","54,727","55,296","55,458","56,000","56,574","57,102","57,750","58,225","58,431","58,563","58,610","58,643"
653,"Casa Grande city, Arizona","48,571","48,564","48,955","48,904","49,453","49,777","51,362","52,687","54,247","55,695","57,019","58,632"
654,"Caldwell city, Idaho","46,237","46,346","46,535","47,271","47,708","48,964","50,122","51,543","53,106","54,738","56,478","58,481"
655,"San Rafael city, California","57,713","57,698","57,797","58,232","58,448","58,995","59,130","59,074","58,918","58,801","58,704","58,440"
656,"Great Falls city, Montana","58,505","59,121","59,243","59,411","59,284","59,549","59,359","59,281","58,915","58,879","58,751","58,434"
657,"Sarasota city, Florida","51,917","52,107","52,219","52,527","52,954","53,149","54,015","54,956","56,440","57,185","57,746","58,285"
658,"Richland city, Washington","48,058","48,491","48,876","50,622","51,767","52,549","53,248","54,412","55,095","56,656","57,533","58,225"
659,"St. Peters city, Missouri","52,575","52,595","52,796","53,414","54,062","54,825","56,012","56,742","57,159","57,179","57,123","58,212"
660,"Hendersonville city, Tennessee","51,372","51,333","51,485","52,283","52,919","53,824","54,851","55,597","56,563","57,560","57,634","58,113"
661,"White Plains city, New York","56,853","56,866","56,946","57,183","57,255","57,647","57,733","58,020","58,000","58,388","58,141","58,109"
662,"Huntersville town, North Carolina","46,773","46,909","47,103","48,184","49,424","50,673","51,728","52,973","55,273","56,385","57,212","58,098"
663,"Santee city, California","53,413","53,420","53,640","54,523","55,381","56,151","56,828","57,471","57,678","57,825","57,944","58,081"
664,"Kokomo city, Indiana","45,468","58,187","58,193","58,208","58,212","58,204","58,158","57,980","57,762","57,858","57,922","58,020"
665,"Arcadia city, California","56,364","56,303","56,322","56,594","56,801","57,215","57,513","57,835","58,238","58,374","58,385","57,939"
666,"Casper city, Wyoming","55,316","55,316","55,261","56,092","57,684","59,487","59,673","60,014","58,933","57,851","57,515","57,931"
667,"Dubuque city, Iowa","57,637","57,605","57,689","57,916","58,165","58,491","58,573","58,566","58,248","58,299","57,975","57,882"
668,"Orland Park village, Illinois","56,767","56,607","56,664","56,968","57,232","58,470","58,592","58,531","58,912","58,579","58,179","57,857"
669,"Weymouth Town city, Massachusetts","53,743","53,762","53,828","54,177","55,058","55,452","55,725","55,798","55,924","56,695","57,511","57,746"
670,"Parker town, Colorado","45,297","45,357","45,540","46,116","47,054","48,364","49,508","51,112","52,714","54,261","55,813","57,706"
671,"Palm Beach Gardens city, Florida","48,452","49,896","50,012","50,563","51,320","52,221","53,388","54,437","55,536","56,360","57,007","57,704"
672,"Hanford city, California","53,967","54,436","54,463","54,612","54,524","54,741","55,086","55,608","55,663","56,383","56,971","57,703"
673,"Huntington Park city, California","58,114","58,125","58,125","58,334","58,524","58,739","58,908","58,933","58,701","58,476","57,998","57,509"
674,"Taunton city, Massachusetts","55,874","55,826","55,851","55,876","55,990","56,109","56,659","56,838","56,939","56,982","57,365","57,464"
675,"Midwest City city, Oklahoma","54,371","54,370","54,586","55,386","56,232","56,835","57,095","57,289","57,417","57,165","57,186","57,407"
676,"Medford city, Massachusetts","56,173","56,280","56,400","56,824","57,255","57,399","57,551","57,792","57,820","57,772","57,554","57,341"
677,"Euless city, Texas","51,277","51,263","51,411","52,052","52,756","53,140","53,569","54,163","54,881","55,252","57,241","57,197"
678,"Shoreline city, Washington","53,007","53,031","53,180","53,762","54,459","54,802","55,249","55,592","55,687","56,521","56,557","57,027"
679,"Smyrna city, Georgia","51,271","51,037","51,140","51,636","52,322","53,074","54,419","55,583","56,246","56,285","56,512","56,666"
680,"Pocatello city, Idaho","54,255","54,236","54,335","54,702","54,779","54,476","54,427","54,775","54,911","55,336","55,982","56,637"
681,"Valdosta city, Georgia","54,518","54,764","54,977","55,787","57,156","56,088","56,309","55,818","55,846","56,054","56,428","56,457"
682,"Carson City, Nevada","55,274","55,269","54,981","54,676","54,312","53,726","54,082","54,068","54,147","54,532","55,202","55,916"
683,"Lake Havasu City city, Arizona","52,527","52,531","52,578","52,789","52,794","52,786","53,030","53,399","53,800","54,380","55,020","55,865"
684,"Grand Forks city, North Dakota","52,838","52,920","53,040","52,770","53,576","54,914","55,811","56,535","56,729","56,754","56,637","55,839"
685,"Blue Springs city, Missouri","52,575","52,593","52,657","52,754","52,977","53,149","53,462","53,998","54,387","54,861","55,126","55,829"
686,"Southaven city, Mississippi","48,982","48,979","49,125","49,756","50,407","50,977","51,740","52,529","53,200","54,155","54,979","55,780"
687,"Tinley Park village, Illinois","56,703","56,827","56,882","57,086","57,268","57,372","57,364","57,195","56,929","56,553","56,095","55,773"
688,"Diamond Bar city, California","55,544","55,568","55,588","55,854","56,087","56,233","56,279","56,429","56,581","56,334","56,106","55,720"
689,"New Brunswick city, New Jersey","55,181","54,500","54,886","55,296","55,404","55,896","55,882","56,009","56,183","56,120","55,878","55,676"
690,"Lenexa city, Kansas","48,190","48,216","48,292","48,865","49,351","50,279","50,924","52,430","53,028","53,557","55,349","55,625"
691,"Brookhaven city, Georgia",(X),"49,640","49,688","50,147","50,942","51,479","51,990","52,693","53,148","53,630","54,029","55,554"
692,"Novato city, California","51,904","51,869","51,970","52,680","53,221","54,142","54,856","55,406","55,913","55,701","55,640","55,516"
693,"Tigard city, Oregon","48,035","48,205","48,326","49,244","49,818","50,361","50,674","51,060","51,978","53,373","54,652","55,514"
694,"Highland city, California","53,104","53,106","53,218","53,671","53,939","54,150","54,325","54,553","54,752","55,198","55,311","55,417"
695,"Fountain Valley city, California","55,313","55,360","55,470","55,950","56,318","56,601","56,671","56,643","56,423","56,051","55,663","55,357"
696,"Dearborn Heights city, Michigan","57,774","57,774","57,640","57,278","57,115","56,653","56,596","56,322","56,097","55,873","55,627","55,353"
697,"Albany city, Oregon","50,158","50,142","50,327","50,946","51,017","50,937","51,343","51,659","52,716","53,524","54,518","55,338"
698,"Grapevine city, Texas","46,334","46,336","46,610","47,102","48,427","50,117","50,772","51,430","52,055","53,974","53,809","55,281"
699,"Apple Valley city, Minnesota","49,084","49,092","49,146","49,492","49,721","49,925","50,195","50,950","51,938","52,390","54,065","55,135"
700,"Chicopee city, Massachusetts","55,298","55,307","55,306","55,630","55,840","55,923","56,274","55,820","55,342","55,336","55,424","55,126"
701,"Hempstead village, New York","53,891","54,018","54,081","54,187","54,982","55,476","55,488","55,407","55,367","55,363","55,246","55,113"
702,"Oak Lawn village, Illinois","56,690","56,690","56,732","56,924","57,078","57,170","57,106","56,825","56,456","55,983","55,430","55,022"
703,"Cathedral City city, California","51,200","51,230","51,452","52,077","52,478","52,846","53,187","53,516","53,943","54,413","54,793","55,007"
704,"Bentonville city, Arkansas","35,301","35,356","35,859","37,227","38,747","40,472","42,001","44,743","47,166","49,399","51,103","54,909"
705,"Stonecrest city, Georgia",(X),"50,207","50,256","50,726","51,537","52,084","52,607","53,327","54,037","54,278","54,424","54,903"
706,"Kettering city, Ohio","56,163","56,129","56,131","56,000","55,925","55,798","55,552","55,375","55,244","55,144","55,014","54,855"
707,"Colton city, California","52,154","52,148","52,261","52,712","52,945","53,105","53,706","54,291","54,507","54,680","54,637","54,824"
708,"Anderson city, Indiana","56,129","56,082","56,065","55,798","55,441","55,465","55,252","55,020","54,985","54,898","54,883","54,765"
709,"West Haven city, Connecticut","55,564","55,564","55,570","55,510","55,284","55,130","55,289","54,872","54,640","54,841","54,895","54,620"
710,"Burlington city, North Carolina","49,963","51,079","51,172","51,169","51,198","51,314","51,475","51,867","52,180","53,121","53,911","54,606"
711,"Manhattan city, Kansas","52,281","52,158","52,526","54,148","56,597","56,101","55,685","56,513","55,241","55,124","54,983","54,604"
712,"St. Cloud city, Florida","35,183","37,787","37,983","39,474","41,175","42,504","44,605","46,742","48,578","51,700","54,200","54,579"
713,"Normal town, Illinois","52,497","52,549","52,643","53,119","54,025","54,667","54,517","54,294","54,391","54,452","54,629","54,469"
714,"Decatur city, Alabama","55,683","55,786","55,814","55,916","55,837","55,465","55,269","55,027","54,729","54,437","54,364","54,445"
715,"Berwyn city, Illinois","56,657","56,653","56,671","56,791","56,886","56,914","56,777","56,436","55,986","55,435","54,821","54,391"
716,"Port Arthur city, Texas","53,818","54,376","54,500","54,905","54,563","54,719","54,529","55,378","55,566","55,433","54,889","54,280"
717,"Kingsport city, Tennessee","48,205","52,997","52,953","52,924","52,739","52,817","52,822","52,757","52,521","53,487","54,006","54,127"
718,"Minnetonka city, Minnesota","49,734","49,735","49,796","50,646","51,232","51,437","51,555","51,739","52,447","52,910","53,883","54,064"
719,"Rosemead city, California","53,764","53,771","53,795","54,022","54,215","54,398","54,429","54,440","54,332","54,221","54,226","54,058"
720,"Paramount city, California","54,098","54,098","54,104","54,329","54,580","54,854","54,914","54,971","54,789","54,621","54,259","53,955"
721,"Rocky Mount city, North Carolina","57,477","57,695","57,680","57,401","56,735","56,300","55,880","55,003","54,992","54,634","54,232","53,922"
722,"Yucaipa city, California","51,367","51,347","51,474","51,954","52,280","52,546","52,730","52,981","53,186","53,496","53,557","53,921"
723,"Watsonville city, California","51,199","51,214","51,278","51,593","51,887","52,412","52,959","53,528","53,774","53,919","53,875","53,856"
724,"Elyria city, Ohio","54,533","54,526","54,487","54,322","54,162","54,115","54,078","53,917","53,865","53,781","53,797","53,757"
725,"Leesburg town, Virginia","42,616","42,643","43,067","44,537","46,076","47,713","49,338","50,935","52,495","54,055","53,763","53,727"
726,"Mount Prospect village, Illinois","54,167","55,037","55,082","55,264","55,417","55,602","55,770","55,528","55,156","54,675","54,116","53,719"
727,"Pinellas Park city, Florida","49,079","49,553","49,532","49,944","50,202","50,532","51,410","51,989","52,615","52,940","53,157","53,637"
728,"Delano city, California","53,041","53,044","53,130","53,620","52,403","52,331","52,447","52,495","52,568","52,877","52,921","53,573"
729,"Bellevue city, Nebraska","50,137","51,520","51,634","51,858","52,407","52,786","52,706","52,956","53,291","53,398","53,494","53,544"
730,"West Sacramento city, California","48,744","48,744","48,842","49,106","49,528","49,978","51,637","52,431","52,933","53,304","53,601","53,519"
731,"Apopka city, Florida","41,542","42,194","42,407","43,765","45,103","46,238","47,796","49,109","50,486","52,277","53,557","53,447"
732,"Palm Desert city, California","48,445","48,449","48,684","49,251","49,775","50,357","50,916","51,552","52,077","52,794","53,129","53,275"
733,"Milford city (balance), Connecticut","51,271","51,261","51,300","51,376","51,551","51,653","51,973","52,128","52,531","52,816","53,148","53,195"
734,"Little Elm city, Texas","25,898","25,892","26,197","27,709","29,023","32,916","35,493","38,438","42,661","45,988","49,644","53,126"
735,"Revere city, Massachusetts","51,755","51,713","51,845","52,628","53,241","53,694","53,802","53,960","53,942","54,071","53,483","53,073"
736,"Peabody city, Massachusetts","51,251","51,266","51,399","51,632","51,904","52,224","52,463","52,629","52,759","52,948","53,092","53,070"
737,"Wylie city, Texas","41,427","41,685","42,044","43,597","44,769","45,352","46,439","47,348","48,499","49,536","51,003","53,067"
738,"Harrisonburg city, Virginia","48,914","48,900","48,993","49,935","51,312","51,537","52,542","52,675","53,542","53,644","53,488","53,016"
739,"DeSoto city, Texas","49,047","49,043","49,344","50,196","51,216","51,587","52,046","52,612","53,088","53,533","53,254","52,988"
740,"Pensacola city, Florida","51,923","52,008","52,014","51,848","52,149","52,270","52,434","52,473","52,662","52,525","52,637","52,975"
741,"Olympia city, Washington","46,478","46,884","47,067","47,696","48,089","48,473","49,327","49,849","50,732","51,660","52,508","52,882"
742,"Edina city, Minnesota","47,941","47,980","48,037","48,686","49,202","49,501","49,704","50,251","51,428","51,783","52,430","52,857"
743,"Wheaton city, Illinois","52,894","53,045","53,104","53,416","53,576","53,765","53,769","53,736","53,518","53,406","53,108","52,745"
744,"West New York town, New Jersey","49,708","49,710","49,843","50,511","50,853","51,252","51,529","52,540","52,596","52,732","52,668","52,723"
745,"Hoboken city, New Jersey","50,005","50,020","50,057","50,769","51,481","52,177","52,463","52,839","53,649","53,662","53,134","52,677"
746,"Lacey city, Washington","42,393","42,543","42,708","43,423","43,947","44,761","45,271","46,071","47,309","49,632","50,600","52,592"
747,"Summerville town, South Carolina","43,392","42,960","43,175","43,982","44,710","45,952","47,370","49,227","50,216","51,517","51,880","52,549"
748,"Coeur d'Alene city, Idaho","44,137","44,168","44,292","45,009","45,519","46,250","47,629","48,761","49,802","50,584","51,210","52,414"
749,"Oak Park village, Illinois","51,878","51,878","51,896","52,013","52,099","52,254","52,138","52,405","52,060","52,149","52,173","52,381"
750,"Elkhart city, Indiana","50,949","51,908","51,841","51,905","51,975","52,157","52,285","52,505","52,475","52,372","52,373","52,358"
751,"Maricopa city, Arizona","43,482","43,488","43,686","43,866","44,030","44,814","45,543","46,109","46,914","48,002","50,028","52,127"
752,"Kentwood city, Michigan","48,707","48,701","48,732","49,186","49,752","50,352","50,861","51,352","51,742","51,781","51,829","51,898"
753,"Madison city, Alabama","42,938","43,192","43,556","44,304","45,189","45,929","46,636","47,170","48,158","49,207","50,491","51,593"
754,"Smyrna town, Tennessee","39,974","40,401","40,568","41,407","42,128","43,517","45,731","46,941","48,515","49,910","50,748","51,586"
755,"Glendora city, California","50,073","50,267","50,376","50,624","50,795","51,120","51,065","51,769","51,882","51,997","51,846","51,544"
756,"Logan city, Utah","48,174","48,203","48,448","49,041","49,094","49,057","49,048","49,769","50,621","51,019","51,334","51,542"
757,"Burien city, Washington","33,313","48,081","48,224","48,786","49,511","49,915","50,304","50,664","51,377","51,992","51,731","51,500"
758,"Perth Amboy city, New Jersey","50,814","50,827","50,918","51,137","51,556","51,722","51,832","51,705","51,765","51,821","51,677","51,390"
759,"Herriman city, Utah","21,785","21,768","22,520","23,364","24,378","26,278","28,461","30,572","35,049","39,166","44,663","51,348"
760,"Grand Island city, Nebraska","48,520","48,655","48,819","49,401","49,905","50,323","50,887","50,959","51,182","51,128","51,219","51,267"
761,"Placentia city, California","50,533","50,915","50,994","51,503","51,838","52,105","52,108","52,202","52,154","51,916","51,538","51,233"
762,"La Crosse city, Wisconsin","51,320","51,343","51,376","51,225","51,962","51,885","52,145","52,023","51,830","51,718","51,491","51,227"
763,"Battle Creek city, Michigan","52,347","52,401","52,315","51,991","51,871","51,788","51,776","51,556","51,453","51,275","51,105","51,093"
764,"Beaumont city, California","36,877","36,867","37,261","38,514","39,286","40,337","41,994","43,479","45,156","46,848","49,126","51,063"
765,"Collierville town, Tennessee","43,965","45,599","45,661","45,949","46,438","47,359","48,754","48,984","49,462","50,252","50,671","51,040"
766,"West Lafayette city, Indiana","29,596","41,997","42,052","42,526","43,227","43,666","44,975","46,174","47,503","47,504","49,019","50,996"
767,"Florissant city, Missouri","52,158","52,260","52,235","52,430","52,379","52,265","52,172","52,072","51,652","51,380","51,147","50,952"
768,"Hoffman Estates village, Illinois","51,895","51,891","51,942","52,147","52,301","52,396","52,342","52,098","51,828","51,463","51,111","50,932"
769,"Joplin city, Missouri","50,150","50,798","50,911","48,350","48,483","48,896","49,402","49,780","50,192","50,469","50,604","50,925"
770,"Queen Creek town, Arizona","26,361","26,736","27,058","27,602","28,148","30,424","33,011","35,534","38,850","43,227","47,123","50,890"
771,"Aliso Viejo city, California","47,823","47,674","47,801","48,474","49,038","49,538","49,542","49,499","50,858","50,982","51,206","50,887"
772,"Kannapolis city, North Carolina","42,625","42,621","42,699","43,169","43,769","44,385","45,310","46,311","47,577","48,774","49,770","50,841"
773,"Methuen Town city, Massachusetts","47,255","47,328","47,445","47,798","48,129","48,706","49,384","49,797","49,953","50,308","50,565","50,706"
774,"Galveston city, Texas","47,743","47,741","47,793","47,555","48,100","48,658","49,251","49,691","50,186","50,569","50,396","50,446"
775,"Mishawaka city, Indiana","48,252","48,236","48,203","48,106","48,045","48,111","48,260","48,279","48,814","48,984","49,810","50,363"
776,"Plainfield city, New Jersey","49,808","49,595","49,667","49,816","49,972","50,223","50,315","50,464","50,276","50,367","50,430","50,317"
777,"Newark city, Ohio","47,573","47,558","47,614","47,720","47,809","48,034","48,283","48,592","48,946","49,471","50,001","50,315"
778,"Stillwater city, Oklahoma","45,688","45,721","45,762","46,264","46,723","47,426","48,454","49,135","49,769","50,039","50,479","50,299"
779,"Twin Falls city, Idaho","44,125","44,320","44,517","44,851","45,088","45,846","46,480","47,280","48,287","49,298","49,713","50,197"
780,"Texas City city, Texas","45,099","45,084","45,284","45,179","45,577","45,900","46,383","47,299","47,994","48,417","49,078","50,094"
781,"Cerritos city, California","49,041","49,043","49,042","49,223","49,384","49,507","49,532","49,546","50,346","50,697","50,288","49,859"
782,"Coral Gables city, Florida","46,780","46,746","46,963","47,613","49,049","49,762","50,176","50,275","50,396","50,628","50,125","49,700"
783,"Enid city, Oklahoma","49,379","49,385","49,530","49,529","50,018","50,787","51,113","51,478","50,869","50,132","49,723","49,688"
784,"Lakewood city, Ohio","52,131","52,131","52,026","51,662","51,400","51,257","51,088","50,811","50,528","50,211","50,012","49,678"
785,"Troy city, New York","50,129","50,162","50,081","50,020","49,848","49,921","49,968","49,776","49,597","49,433","49,354","49,154"
786,"Saginaw city, Michigan","51,508","51,469","51,363","51,012","50,728","50,272","49,798","49,230","48,902","48,696","48,310","48,115"
787,"Niagara Falls city, New York","50,193","50,031","49,996","49,760","49,526","49,328","49,083","48,769","48,526","48,249","48,012","47,720"
788,"Charleston city, West Virginia","51,400","51,340","51,274","50,992","50,858","50,657","50,133","49,457","48,789","48,040","47,172","46,536"
"Note: Areas are included in this table if they exceed the stated threshold at any point in the time series. The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. All geographic boundaries for the 2019 population estimates series are as of January 1, 2019. An ""(X)"" in the 2010 Census field indicates a locality that was formed or incorporated after the 2010 Census. Additional information on these localities can be found in the Geographic Boundary Change Notes (see https://www.census.gov/programs-surveys/geography/technical-documentation/boundary-change-notes.html). For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. ",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Incorporated Places of 50,000 or More, Ranked by July 1, 2019 Population: April 1, 2010 to July 1, 2019 (SUB-IP-EST2019-ANNRNK)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: May 2020,,,,,,,,,,,,,
